"Country","Systemic Banking Crisis (starting date)","Currency Crisis","Sovereign Debt Crisis (year)","Sovereign Debt Restructuring (year)"
NA,NA,"(year)",NA,NA
"Albania","1994","1997","1990","1992"
"Algeria","1990","1988, 1994",NA,NA
"Angola",NA,"1991, 1996, 2015","1988","1992"
"Argentina","1980, 1989, 1995, 2001","1975, 1981, 1987, 2002, 2013","1982, 1989, 2001, 2014","1993, 2005, 2016"
"Armenia","1994",NA,NA,NA
"Australia",NA,NA,NA,NA
"Austria","2008",NA,NA,NA
"Azerbaijan","1995","2015",NA,NA
"Bangladesh","1987","1976",NA,NA
"Barbados",NA,NA,NA,NA
"Belarus","1995","1997, 2009, 2015",NA,NA
"Belgium","2008",NA,NA,NA
"Belize",NA,NA,"2007, 2012, 2017","2007,2013, 2017"
"Benin","1988","1994",NA,NA
"Bhutan",NA,NA,NA,NA
"Bolivia","1986, 1994","1973, 1981","1980","1992"
"Bosnia and Herzegovina","1992",NA,NA,NA
"Botswana",NA,"1984",NA,NA
"Brazil","1990, 1994","1976, 1982, 1987, 1992, 1999, 2015","1983","1994"
"Brunei",NA,NA,NA,NA
"Bulgaria","1996","1996","1990","1994"
"Burkina Faso","1990","1994",NA,NA
"Burundi","1994",NA,NA,NA
"Cambodia",NA,"1971, 1992",NA,NA
"Cameroon","1987, 1995","1994","1989","1992"
"Canada",NA,NA,NA,NA
"Cape Verde","1993",NA,NA,NA
"Central African Rep.","1976, 1995","1994",NA,NA
"Chad","1983, 1992","1994",NA,NA
"Chile","1976, 1981","1972, 1982","1983","1990"
"China, P.R.","1998",NA,NA,NA
"Colombia","1982, 1998","1985",NA,NA
"Comoros",NA,"1994",NA,NA
"Congo, Dem. Rep. of","1983, 1991, 1994","1976, 1983, 1989, 1994, 1999, 2009, 2016","1976","1989"
"Congo, Rep. of","1992","1994","1986","1992"
"Costa Rica","1987, 1994","1981, 1991","1981","1990"
"Côte d’Ivoire","1988","1994","1984, 2001, 2010","1997, 2010"
"Croatia","1998",NA,NA,NA
"Czech Republic","1996",NA,NA,NA
"Cyprus","2011",NA,"2013","2013"
"Denmark","2008",NA,NA,NA
"Djibouti","1991",NA,NA,NA
"Dominica",NA,NA,"2002","2004"
"Dominican Republic","2003","1985, 1990, 2003","1982, 2003","1994, 2005"
"Ecuador","1982, 1998","1982, 1999","1982, 1999, 2008","1995, 2000, 2009"
"Egypt","1980","1979, 1990, 2016","1984","1992"
"El Salvador","1989","1986",NA,NA
"Equatorial Guinea","1983","1980, 1994",NA,NA
"Eritrea","1993",NA,NA,NA
"Estonia","1992","1992",NA,NA
"Ethiopia",NA,"1993",NA,NA
"Fiji",NA,"1998",NA,NA
"Finland","1991","1993",NA,NA
"France","2008",NA,NA,NA
"Gabon",NA,"1994","1986, 2002","1994"
"Gambia, The",NA,"1985, 2003","1986","1988"
"Georgia","1991","1992, 1999",NA,NA
"Germany","2008",NA,NA,NA
"Ghana","1982","1978, 1983, 1993, 2000, 2009, 2014",NA,NA
"Greece","2008","1983","2012","2012"
"Grenada",NA,NA,"2004","2005, 2015"
"Guatemala",NA,"1986",NA,NA
"Guinea","1985, 1993","1982, 2005","1985","1992"
"Guinea-Bissau","1995, 2014","1980, 1994",NA,NA
"Guyana","1993","1987","1982","1992"
"Haiti","1994","1992, 2003",NA,NA
"Honduras",NA,"1990","1981","1992"
"China, P.R.: Hong Kong",NA,NA,NA,NA
"Hungary","1991, 2008",NA,NA,NA
"Iceland","2008","1975, 1981, 1989, 2008",NA,NA
"India","1993",NA,NA,NA
"Indonesia","1997","1979, 1998","1999","2002"
"Iran, I.R. of",NA,"1985, 1993, 2000, 2013","1992","1994"
"Ireland","2008",NA,NA,NA
"Israel","1983","1975, 1980, 1985",NA,NA
"Italy","2008","1981",NA,NA
"Jamaica","1996","1978, 1983, 1991","1978, 2010","1990, 2010, 2013"
"Japan","1997",NA,NA,NA
"Jordan","1989","1989","1989","1993"
"Kazakhstan","2008","1999, 2015",NA,NA
"Kenya","1985, 1992","1993",NA,NA
"Korea","1997","1998",NA,NA
"Kuwait","1982",NA,NA,NA
"Kyrgyz Republic","1995","1997",NA,NA
"Lao People’s Dem. Rep.",NA,"1972, 1978, 1986, 1997",NA,NA
"Latvia","1995, 2008","1992",NA,NA
"Lebanon","1990","1984, 1990",NA,NA
"Lesotho",NA,"1985, 2015",NA,NA
"Liberia","1991",NA,"1980","n.a."
"Libya",NA,"2002",NA,NA
"Lithuania","1995","1992",NA,NA
"Luxembourg","2008",NA,NA,NA
"Macedonia","1993",NA,NA,NA
"Madagascar","1988","1984, 1994, 2004","1981","1992"
"Malawi",NA,"1994, 2012","1982","1988"
"Malaysia","1997","1998",NA,NA
"Maldives",NA,"1975",NA,NA
"Mali","1987","1994",NA,NA
"Mauritania","1984","1993",NA,NA
"Mauritius",NA,NA,NA,NA
"Mexico","1981, 1994","1977, 1982, 1995","1982","1990"
"Moldova","2014","1999","2002","2002"
"Mongolia","2008","1990, 1997",NA,NA
"Morocco","1980","1981","1983","1990"
"Mozambique","1987","1987, 2015","1984","1991"
"Myanmar",NA,"1975, 1990, 1996, 2001,2007, 2012",NA,NA
"Namibia",NA,"1984, 2015",NA,NA
"Nepal","1988","1984, 1992",NA,NA
"Netherlands","2008",NA,NA,NA
"New Caledonia",NA,"1981",NA,NA
"New Zealand",NA,"1984",NA,NA
"Nicaragua","1990, 2000","1979, 1985, 1990","1980, 2003, 2008","1995"
"Niger","1983","1994","1983","1991"
"Nigeria","1991, 2009","1983, 1989, 1997, 2016","1983","1992"
"Norway","1991",NA,NA,NA
"Pakistan",NA,"1972","1999",NA
"Panama","1988",NA,"1983","1996"
"Papua New Guinea",NA,"1995",NA,NA
"Paraguay","1995","1984, 1989, 2002","1982","1992"
"Peru","1983","1976, 1981, 1988","1978","1996"
"Philippines","1983, 1997","1983, 1998","1983","1992"
"Poland","1992",NA,"1981","1994"
"Portugal","2008","1983",NA,NA
"Romania","1998","1996","1982","1987"
"Russia","1998, 2008","1998, 2014","1998","2000"
"Rwanda",NA,"1991",NA,NA
"St. Kitts and Nevis",NA,NA,NA,"2012"
"São Tomé and Principe","1992","1987, 1992, 1997",NA,NA
"Senegal","1988","1994","1981","1996"
"Serbia, Republic of",NA,"2000",NA,NA
"Seychelles",NA,"2008","2008","2009"
"Sierra Leone","1990","1983, 1989, 1998","1977","1995"
"Singapore",NA,NA,NA,NA
"Slovak Republic","1998",NA,NA,NA
"Slovenia","1992, 2008",NA,NA,NA
"South Africa",NA,"1984, 2015","1985","1993"
"South Sudan",NA,"2015",NA,NA
"Spain","1977, 2008","1983",NA,NA
"Sri Lanka","1989","1978, 2012",NA,NA
"Sudan",NA,"1981, 1988, 1993, 2012","1979","1985"
"Suriname",NA,"1990, 1995, 2001, 2016",NA,NA
"Swaziland","1995","1985, 2015",NA,NA
"Sweden","1991, 2008","1993",NA,NA
"Syrian Arab Republic",NA,"1988",NA,NA
"Switzerland","2008",NA,NA,NA
"Tajikistan",NA,"1999, 2015",NA,NA
"Tanzania","1987","1985, 1990","1984","1992"
"Thailand","1983, 1997","1998",NA,NA
"Togo","1993","1994","1979","1997"
"Trinidad and Tobago",NA,"1986","1989","1989"
"Tunisia","1991",NA,NA,NA
"Turkey","1982, 2000","1978, 1984, 1991, 1996, 2001","1978","1982"
"Turkmenistan",NA,"2008",NA,NA
"Uganda","1994","1980, 1988","1981","1993"
"Ukraine","1998, 2008, 2014","1998, 2009, 2014","1998, 2015","1999, 2015"
"United Kingdom","2007",NA,NA,NA
"United States","1988, 2007",NA,NA,NA
"Uruguay","1981, 2002","1972, 1983, 1990, 2002","1983, 2002","1991, 2003"
"Uzbekistan",NA,"2000",NA,NA
"Venezuela","1994","1984, 1989, 1994, 2002, 2010","1982, 2017","1990"
"Vietnam","1997","1972, 1981, 1987","1985","1997"
"Yemen","1996","1985, 1995",NA,NA
"Yugoslavia, SFR",NA,NA,"1983","1988"
"Zambia","1995","1983, 1989, 1996, 2009, 2015","1983","1994"
"Zimbabwe","1995","1983, 1991, 1998, 2003",NA,NA
