"obsid","idacr","leader","startdate","enddate"
"USA-1869","USA","Grant","1869-03-04","1877-03-04"
"USA-1877","USA","Hayes","1877-03-04","1881-03-04"
"USA-1881-1","USA","Garfield","1881-03-04","1881-09-19"
"USA-1881-2","USA","Arthur","1881-09-19","1885-03-04"
"USA-1885","USA","Cleveland","1885-03-04","1889-03-04"
"USA-1889","USA","Harrison","1889-03-04","1893-03-04"
"USA-1893","USA","Cleveland","1893-03-04","1897-03-04"
"USA-1897","USA","McKinley","1897-03-04","1901-09-14"
"USA-1901","USA","Roosevelt, T.","1901-09-14","1909-03-04"
"USA-1909","USA","Taft","1909-03-04","1913-03-04"
"USA-1913","USA","Wilson","1913-03-04","1921-03-04"
"USA-1921","USA","Harding","1921-03-04","1923-08-03"
"USA-1923","USA","Coolidge","1923-08-03","1929-03-04"
"USA-1929","USA","Hoover","1929-03-04","1933-03-04"
"USA-1933","USA","Roosevelt, F.","1933-03-04","1945-04-12"
"USA-1945","USA","Truman","1945-04-12","1953-01-20"
"USA-1953","USA","Eisenhower","1953-01-20","1961-01-20"
"USA-1961","USA","Kennedy","1961-01-20","1963-11-22"
"USA-1963","USA","Johnson","1963-11-22","1969-01-20"
"USA-1969","USA","Nixon","1969-01-20","1974-08-09"
"USA-1974","USA","Ford","1974-08-09","1977-01-20"
"USA-1977","USA","Carter","1977-01-20","1981-01-20"
"USA-1981","USA","Reagan","1981-01-20","1989-01-20"
"USA-1989","USA","G.H.W. Bush","1989-01-20","1993-01-20"
"USA-1993","USA","Clinton","1993-01-20","2001-01-20"
"USA-2001","USA","G.W. Bush","2001-01-21","2009-01-20"
"USA-2009","USA","Obama","2009-01-20","2015-12-31"
"CAN-1873","CAN","Mackenzie","1873-11-07","1878-10-17"
"CAN-1878","CAN","Macdonald","1878-10-17","1891-06-06"
"CAN-1891","CAN","Abbott","1891-06-16","1892-12-05"
"CAN-1892","CAN","Thompson","1892-12-05","1894-12-12"
"CAN-1894","CAN","Bowell","1894-12-21","1896-05-01"
"CAN-1896-1","CAN","Tupper","1896-05-01","1896-07-11"
"CAN-1896-2","CAN","Laurier","1896-07-11","1911-10-10"
"CAN-1911","CAN","Borden","1911-10-10","1920-06-10"
"CAN-1920","CAN","Meighen","1920-07-10","1921-12-29"
"CAN-1921","CAN","King","1921-12-29","1926-06-28"
"CAN-1926-1","CAN","Meighen","1926-06-29","1926-09-25"
"CAN-1926-2","CAN","King","1926-09-25","1930-08-07"
"CAN-1930","CAN","Bennett","1930-08-07","1935-10-23"
"CAN-1935","CAN","King","1935-10-23","1948-11-15"
"CAN-1948","CAN","St. Laurent","1948-11-15","1957-06-21"
"CAN-1957","CAN","Diefenbaker","1957-06-21","1963-04-22"
"CAN-1963","CAN","Pearson","1963-04-22","1968-04-20"
"CAN-1968","CAN","Pierre Trudeau","1968-04-20","1979-06-04"
"CAN-1979","CAN","Clark","1979-06-04","1980-03-03"
"CAN-1980","CAN","Pierre Trudeau","1980-03-03","1984-06-30"
"CAN-1984-1","CAN","Turner","1984-06-30","1984-09-17"
"CAN-1984-2","CAN","Mulroney","1984-09-17","1993-06-25"
"CAN-1993-1","CAN","Kim Campbell","1993-06-25","1993-11-04"
"CAN-1993-2","CAN","Chretien","1993-11-04","2003-12-12"
"CAN-2003","CAN","Paul Martin","2003-12-12","2006-02-06"
"CAN-2006","CAN","Harper","2006-02-06","2015-11-04"
"CAN-2015","CAN","Justin Trudeau","2015-11-04","2015-12-31"
"BHM-1967","BHM","Pindling","1967-01-16","1992-08-21"
"BHM-1992","BHM","Ingraham","1992-08-21","2002-05-03"
"BHM-2002","BHM","Christie","2002-05-03","2005-05-04"
"BHM-2005-1","BHM","Cynthia A. Pratt","2005-05-04","2005-06-22"
"BHM-2005-2","BHM","Christie","2005-06-22","2007-05-04"
"BHM-2007","BHM","Ingraham","2007-05-04","2012-05-08"
"BHM-2012","BHM","Christie","2012-05-08","2015-12-31"
"CUB-1902","CUB","Palma","1902-05-20","1906-09-28"
"CUB-1909","CUB","Gomez","1909-01-28","1913-05-20"
"CUB-1913","CUB","Menocal","1913-05-20","1921-05-20"
"CUB-1921","CUB","Zyas y Alfonso","1921-05-20","1925-05-20"
"CUB-1925","CUB","Machado Morales","1925-05-20","1933-08-12"
"CUB-1933-1","CUB","de Cespedes","1933-08-12","1933-09-05"
"CUB-1933-2","CUB","Grau San Martin","1933-09-10","1934-01-15"
"CUB-1934-1","CUB","Hevia","1934-01-15","1934-01-18"
"CUB-1934-2","CUB","Mendieta","1934-01-18","1935-12-12"
