"country","year","cpicss"
"Argentina",1864,0.0001122
"Argentina",1865,0.0001017
"Argentina",1866,9.21e-05
"Argentina",1867,9.47e-05
"Argentina",1868,9.47e-05
"Argentina",1869,8.93e-05
"Argentina",1870,9.35e-05
"Argentina",1871,0.0001001
"Argentina",1872,0.0001178
"Argentina",1873,0.0001178
"Argentina",1874,0.000115
"Argentina",1875,0.0001111
"Argentina",1876,0.0001137
"Argentina",1877,0.0001273
"Argentina",1878,0.00013
"Argentina",1879,0.0001367
"Argentina",1880,0.0001393
"Argentina",1881,0.0001084
"Argentina",1882,0.0001001
"Argentina",1883,9.35e-05
"Argentina",1884,9.89e-05
"Argentina",1885,0.0001245
"Argentina",1886,0.0001084
"Argentina",1887,9.89e-05
"Argentina",1888,8.4e-05
"Argentina",1889,9.6e-05
"Argentina",1890,0.0001354
"Argentina",1891,0.0001502
"Argentina",1892,0.0001354
"Argentina",1893,0.0001232
"Argentina",1894,0.0001434
"Argentina",1895,0.0001557
"Argentina",1896,0.0001664
"Argentina",1897,0.0001557
"Argentina",1898,0.0001393
"Argentina",1899,0.0001258
"Argentina",1900,0.0001354
"Argentina",1901,0.0001434
"Argentina",1902,0.0001434
"Argentina",1903,0.0001421
"Argentina",1904,0.0001367
"Argentina",1905,0.0001583
"Argentina",1906,0.0001624
"Argentina",1907,0.0001734
"Argentina",1908,0.0001746
"Argentina",1909,0.0001842
"Argentina",1910,0.0001828
"Argentina",1911,0.0001842
"Argentina",1912,0.0001909
"Argentina",1913,0.0002014
"Argentina",1914,0.0002014
"Argentina",1915,0.0002156
"Argentina",1916,0.0002316
"Argentina",1917,0.0002719
"Argentina",1918,0.0003403
"Argentina",1919,0.0003222
"Argentina",1920,0.0003746
"Argentina",1921,0.0003363
"Argentina",1922,0.0002799
"Argentina",1923,0.0002759
"Argentina",1924,0.0002799
"Argentina",1925,0.0002739
"Argentina",1926,0.0002658
"Argentina",1927,0.0002638
"Argentina",1928,0.0002356
"Argentina",1929,0.0002638
"Argentina",1930,0.0002679
"Argentina",1931,0.0002295
"Argentina",1932,0.0002054
"Argentina",1933,0.0002187
"Argentina",1934,0.0002098
"Argentina",1935,0.0002392
"Argentina",1936,0.0002392
"Argentina",1937,0.0002449
"Argentina",1938,0.0002433
"Argentina",1939,0.000246
"Argentina",1940,0.0002467
"Argentina",1941,0.0002741
"Argentina",1942,0.0002754
"Argentina",1943,0.0002646
"Argentina",1944,0.0002749
"Argentina",1945,0.0003369
"Argentina",1946,0.0003999
"Argentina",1947,0.0004595
"Argentina",1948,0.0005461
"Argentina",1949,0.00073
"Argentina",1950,0.0008914
"Argentina",1951,0.001339
"Argentina",1952,0.0015944
"Argentina",1953,0.001583
"Argentina",1954,0.0018365
"Argentina",1955,0.0019737
"Argentina",1956,0.0023028
"Argentina",1957,0.002893
"Argentina",1958,0.0043612
"Argentina",1959,0.0087931
"Argentina",1960,0.0104203
"Argentina",1961,0.0121322
"Argentina",1962,0.0158538
"Argentina",1963,0.0196312
"Argentina",1964,0.0231852
"Argentina",1965,0.0320425
"Argentina",1966,0.0416348
"Argentina",1967,0.0530227
"Argentina",1968,0.0580934
"Argentina",1969,0.0619637
"Argentina",1970,0.075436
"Argentina",1971,0.1049479
"Argentina",1972,0.1722706
"Argentina",1973,0.2476689
"Argentina",1974,0.3469879
"Argentina",1975,1.5092578
"Argentina",1976,6.7546774
"Argentina",1977,17.5915561
"Argentina",1978,47.4698379
"Argentina",1979,113.8020408
"Argentina",1980,213.5320119
"Argentina",1981,493.8444511
"Argentina",1982,1529.5873946
"Argentina",1983,8163.3113116
"Argentina",1984,0.0643252
"Argentina",1985,0.3122464
"Argentina",1986,0.5680029
"Argentina",1987,1.560812
"Argentina",1988,7.6126834
"Argentina",1989,382.4283236
"Argentina",1990,5521.9927583
"Argentina",1991,10159.7447725
"Argentina",1992,11942.3614579
"Argentina",1993,12821.9129867
"Argentina",1994,13316.1185488
"Argentina",1995,13530.209649
"Argentina",1996,13537.5587132
"Argentina",1997,13581.9598952
"Argentina",1998,13672.2089919
"Argentina",1999,13424.6797906
"Argentina",2000,13326.7326126
"Argentina",2001,13120.629503
"Argentina",2002,18493.0711994
"Argentina",2003,19170.1083037
"Argentina",2004,20338.8656298
