"iso","year","rgdppc","cpi","crisisJST"
"AUS",1870,13.8361565577557,2.708333,0
"AUS",1871,13.9368644901559,2.666667,0
"AUS",1872,15.044246890548,2.541667,0
"AUS",1873,16.2194426725563,2.541667,0
"AUS",1874,16.268227821719,2.666667,0
"AUS",1875,17.5921069732709,2.75,0
"AUS",1876,17.0190332916129,2.791667,0
"AUS",1877,17.1456520086306,2.875,0
"AUS",1878,18.2052613998842,2.833333,0
"AUS",1879,17.8872470043049,2.75,0
"AUS",1880,18.240585086726,2.666667,0
"AUS",1881,18.9854189304776,2.625,0
"AUS",1882,17.2556716292527,2.666667,0
"AUS",1883,19.0823819447885,2.958333,0
"AUS",1884,18.3177101565641,3,0
"AUS",1885,18.841391405045,3,0
"AUS",1886,18.4322844072948,3,0
"AUS",1887,19.7635521810227,2.916667,0
"AUS",1888,19.1986768335601,2.791667,0
"AUS",1889,20.2667882010163,2.791667,0
"AUS",1890,18.9973621827622,2.791667,0
"AUS",1891,19.9126404065759,2.75,0
"AUS",1892,16.9793574026673,2.708333,0
"AUS",1893,15.734931243009,2.625,1
"AUS",1894,15.9841201169479,2.458333,0
"AUS",1895,14.7803819862594,2.291667,0
"AUS",1896,15.6333123845872,2.291667,0
"AUS",1897,14.489088087317,2.291667,0
"AUS",1898,16.5170118396483,2.25,0
"AUS",1899,16.2948471043534,2.375,0
"AUS",1900,17.0422112981653,2.416667,0
"AUS",1901,16.2899888322377,2.458333,0
"AUS",1902,16.2204548125805,2.625,0
"AUS",1903,17.3096186925384,2.666667,0
"AUS",1904,18.2492894909335,2.541667,0
"AUS",1905,18.1943302876236,2.541667,0
"AUS",1906,19.165984710781,2.583333,0
"AUS",1907,19.6370346780075,2.583333,0
"AUS",1908,19.9688141779147,2.666667,0
"AUS",1909,21.2156694736309,2.708333,0
"AUS",1910,22.2142468214299,2.75,0
"AUS",1911,21.7490672663433,2.958333,0
"AUS",1912,21.7256868317861,3.208333,0
"AUS",1913,21.9828716119156,3.166667,0
"AUS",1914,21.415567128395,3.333333,0
"AUS",1915,20.8567646210772,3.708333,0
"AUS",1916,20.7790322672246,3.791667,0
"AUS",1917,20.4080829483838,4.041667,0
"AUS",1918,19.5872373888207,4.333333,0
"AUS",1919,20.0881454867587,4.875,0
"AUS",1920,20.3079822999981,4.958333,0
"AUS",1921,20.9387479630311,4.5,0
"AUS",1922,21.6040276008866,4.416667,0
"AUS",1923,22.1636398202238,4.416667,0
"AUS",1924,23.1464277836465,4.458333,0
"AUS",1925,23.7384284837556,4.5,0
"AUS",1926,23.8233470317794,4.5,0
"AUS",1927,23.6978416687883,4.583333,0
"AUS",1928,23.2971354332383,4.625,0
"AUS",1929,22.4786177957306,4.625,0
"AUS",1930,20.0824775026237,4.25,0
"AUS",1931,18.5560691322449,4.083333,0
"AUS",1932,19.458898033762,3.916667,0
"AUS",1933,20.656360896301,3.916667,0
"AUS",1934,21.5910722085779,3.916667,0
"AUS",1935,22.6990618929845,3.958333,0
"AUS",1936,23.5517898633074,4.083333,0
"AUS",1937,24.5413591648917,4.166667,0
"AUS",1938,25.1478334673458,4.25,0
"AUS",1939,24.9719235311533,4.375,0
"AUS",1940,26.355417730126,4.625,0
"AUS",1941,29.0404227861175,4.875,0
"AUS",1942,32.1354457658808,5.166667,0
"AUS",1943,32.987971308199,5.208333,0
"AUS",1944,31.5136881490626,5.25,0
"AUS",1945,29.5874844691555,5.375,0
"AUS",1946,28.1943749399537,5.5,0
"AUS",1947,28.4954865971301,5.916667,0
"AUS",1948,29.8148111185734,6.416667,0
"AUS",1949,30.9978003787675,6.968818,0
"AUS",1950,31.7793749053946,7.609278,0
"AUS",1951,32.2020445794681,9.118934,0
"AUS",1952,31.8099415341231,10.68959,0
"AUS",1953,32.1920243932293,11.14706,0
"AUS",1954,33.4443452450757,11.2233,0
"AUS",1955,34.4849264038758,11.45204,0
"AUS",1956,34.8408960503596,12.16875,0
"AUS",1957,34.761443058466,12.46991,0
"AUS",1958,35.7055672729672,12.63384,0
"AUS",1959,37.1242839447793,12.86639,0
"AUS",1960,37.8391584438169,13.35436,0
"AUS",1961,38.7037284524221,13.68984,0
"AUS",1962,37.9751900630589,13.65172,0
"AUS",1963,39.9048350190479,13.72415,0
"AUS",1964,41.5126194473661,14.04819,0
"AUS",1965,43.9007638342825,14.60478,0
"AUS",1966,45.7792957190534,15.03938,0
"AUS",1967,46.9473053068904,15.51972,0
"AUS",1968,50.2082180366074,15.93145,0
"AUS",1969,51.8587147739435,16.39655,0
"AUS",1970,53.2306705766412,17.037,0
"AUS",1971,53.4900820648238,18.07013,0
"AUS",1972,54.04503844005,19.12994,0
"AUS",1973,55.5400704696809,20.94076,0
"AUS",1974,54.767402775266,24.10494,0
"AUS",1975,55.6057583572465,27.73803,0
"AUS",1976,56.9579774294738,31.4893,0
"AUS",1977,56.889050693831,35.36256,0
"AUS",1978,58.5877252963154,38.16457,0
"AUS",1979,59.8140341495419,41.63373,0
"AUS",1980,61.1118000884714,45.8498,0
"AUS",1981,62.0711064033345,50.29345,0
"AUS",1982,59.5575578674293,55.89891,0
"AUS",1983,61.5966151600259,61.55228,0
"AUS",1984,64.1906288278488,63.98371,0
"AUS",1985,66.1452736424337,68.2956,0
"AUS",1986,66.5577207022635,74.49994,0
"AUS",1987,69.1853374188872,80.82405,0
"AUS",1988,70.8332025921606,86.66906,0
"AUS",1989,72.4111288897672,93.22074,1
"AUS",1990,70.912858012059,100,0
"AUS",1991,70.0831056202836,103.2227,0
"AUS",1992,71.8626502106953,104.2404,0
"AUS",1993,74.1367264168932,106.1304,0
"AUS",1994,76.6624206330878,108.1415,0
"AUS",1995,78.8885214021422,113.1573,0
"AUS",1996,80.9493397052574,116.1134,0
"AUS",1997,83.6642028919605,116.37465515,0
"AUS",1998,87.1180295102752,117.374313437739,0
"AUS",1999,89.5848171770659,119.026943770942,0
"AUS",2000,90.2472628228539,124.331974654813,0
"AUS",2001,92.4264002947891,129.81128477785,0
"AUS",2002,94.3409643644187,133.769230850727,0
"AUS",2003,96.9819413293608,137.465274699133,0
"AUS",2004,98.1709022156972,140.639347891936,0
"AUS",2005,100,144.378948152382,0
"AUS",2006,101.470043993944,149.510175969718,0
"AUS",2007,104.619314210396,153.032635715564,0
"AUS",2008,106.335795051612,159.686494716477,0
"AUS",2009,106.054051343882,162.512945672959,0
"AUS",2010,106.511638019129,167.165691307576,0
"AUS",2011,107.534319925333,172.732308828118,0
"AUS",2012,109.470300284143,175.689485955255,0
"AUS",2013,110.326461763995,179.993878361159,0
"AUS",2014,111.479970368826,184.517124524375,0
"AUS",2015,112.520101265216,187.257203823562,0
"AUS",2016,113.912653249691,189.648478316389,0
"BEL",1870,9.92596492538669,0.712069937958263,1
"BEL",1871,9.89235093662475,0.726170332769318,0
