"Country Name","Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"Afghanistan","AFG","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86,NA,6.16,6.18,6.47,NA,NA,NA,6.95,6.95,NA,NA,NA,NA,8.38,NA
"Albania","ALB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.85,NA,NA,11.74,11.7,8.39,8.19,7.3,6.34,6.35,5.67,2.44,5.71,5.78,2.15,1.65,1.67,1.25,1.24,1.44,1.22,1.47,NA
"Algeria","DZA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.44,NA,NA,NA,24.73,24.03,NA,NA,22.07,19.01,18.36,NA,16.33,16.03,16.27,16.18,14.23,NA,NA,NA,NA,12.24,12.26,12.24,12.32,12.47,NA
"American Samoa","ASM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra","AND","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,NA,8.19,7.98,7.98,NA,7.81,7.77,7.91,7.84,7.73,7.7,11.19,10.91,10.9,NA,8.54,NA
"Antigua and Barbuda","ATG","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.82,NA,NA,19.58,16.35,13.55,13.55,13.97,13.93,13.93,11.43,11.61,11.93,13.92,14.47,14.47,12.71,12.51,12.32,12.38,12.3,11.64,12.23,NA
"Argentina","ARG","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.18,13.15,NA,12.7,14.45,14.44,16.73,15.17,15.22,13.23,14.78,14.73,11.85,10.6,10.62,11.49,11.16,11.65,11.47,11.35,11.17,12.17,12.58,12.48,12.58,12.73,12.47,NA
"Armenia","ARM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,NA,3.65,3.85,3.85,3.59,3.92,3.69,4.17,4.21,4.27,4.69,4.63,4.6,6.36,4.92,4.6,NA,NA
"Aruba","ABW","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,10.13,10.16,NA,9.77,10.27,9.99,10.01,NA
