"iso","year","pcpi"
"ABW",1980,NA
"ABW",1981,NA
"ABW",1982,NA
"ABW",1983,NA
"ABW",1984,NA
"ABW",1985,NA
"ABW",1986,NA
"ABW",1987,NA
"ABW",1988,NA
"ABW",1989,NA
"ABW",1990,NA
"ABW",1991,NA
"ABW",1992,NA
"ABW",1993,NA
"ABW",1994,NA
"ABW",1995,71.533
"ABW",1996,73.822
"ABW",1997,76.034
"ABW",1998,77.46
"ABW",1999,79.223
"ABW",2000,82.431
"ABW",2001,84.813
"ABW",2002,87.612
"ABW",2003,90.815
"ABW",2004,93.112
"ABW",2005,96.275
"ABW",2006,99.75
"ABW",2007,105.735
"ABW",2008,115.206
"ABW",2009,112.747
"ABW",2010,115.087
"ABW",2011,120.122
"ABW",2012,120.843
"ABW",2013,117.976
"ABW",2014,118.457
"ABW",2015,119.028
"ABW",2016,117.971
"ABW",2017,117.399
"ABW",2018,118.63
"AFG",1980,NA
"AFG",1981,NA
"AFG",1982,NA
"AFG",1983,NA
"AFG",1984,NA
"AFG",1985,NA
"AFG",1986,NA
"AFG",1987,NA
"AFG",1988,NA
"AFG",1989,NA
"AFG",1990,NA
"AFG",1991,NA
"AFG",1992,NA
"AFG",1993,NA
"AFG",1994,NA
"AFG",1995,NA
"AFG",1996,NA
"AFG",1997,NA
"AFG",1998,NA
"AFG",1999,NA
"AFG",2000,NA
"AFG",2001,NA
"AFG",2002,31.263
"AFG",2003,42.413
"AFG",2004,49.351
"AFG",2005,54.566
"AFG",2006,58.269
"AFG",2007,63.327
"AFG",2008,80.057
"AFG",2009,74.604
"AFG",2010,76.229
"AFG",2011,85.227
"AFG",2012,90.717
"AFG",2013,97.417
"AFG",2014,101.97
"AFG",2015,101.296
"AFG",2016,105.736
"AFG",2017,110.998
"AFG",2018,114.328
"AGO",1980,NA
"AGO",1981,NA
"AGO",1982,NA
"AGO",1983,NA
"AGO",1984,NA
"AGO",1985,NA
"AGO",1986,NA
"AGO",1987,NA
"AGO",1988,NA
"AGO",1989,NA
"AGO",1990,NA
"AGO",1991,NA
"AGO",1992,NA
"AGO",1993,NA
"AGO",1994,NA
"AGO",1995,0.001
"AGO",1996,0.027
"AGO",1997,0.088
"AGO",1998,0.183
"AGO",1999,0.637
"AGO",2000,2.707
"AGO",2001,6.838
"AGO",2002,14.284
"AGO",2003,28.313
"AGO",2004,40.637
"AGO",2005,49.968
"AGO",2006,56.616
"AGO",2007,63.551
"AGO",2008,71.472
"AGO",2009,81.278
"AGO",2010,93.047
"AGO",2011,105.594
"AGO",2012,116.454
"AGO",2013,126.681
"AGO",2014,135.927
"AGO",2015,148.377
"AGO",2016,193.92
"AGO",2017,251.795
"AGO",2018,303.315
"ALB",1980,NA
"ALB",1981,NA
"ALB",1982,NA
"ALB",1983,NA
"ALB",1984,NA
"ALB",1985,NA
"ALB",1986,NA
"ALB",1987,NA
"ALB",1988,NA
"ALB",1989,3.391
"ALB",1990,3.385
"ALB",1991,4.594
"ALB",1992,14.976
"ALB",1993,27.706
"ALB",1994,33.958
"ALB",1995,36.605
"ALB",1996,41.266
"ALB",1997,54.953
"ALB",1998,66.298
"ALB",1999,66.556
"ALB",2000,66.582
"ALB",2001,68.66
"ALB",2002,72.231
"ALB",2003,73.938
"ALB",2004,76.058
"ALB",2005,77.855
"ALB",2006,79.7
"ALB",2007,82.059
"ALB",2008,84.775
"ALB",2009,86.667
"ALB",2010,89.8
"ALB",2011,92.892
"ALB",2012,94.783
"ALB",2013,96.608
"ALB",2014,98.167
"ALB",2015,100.042
"ALB",2016,101.317
"ALB",2017,103.33
"ALB",2018,105.7
"ARE",1980,66.7
"ARE",1981,72
"ARE",1982,77.1
"ARE",1983,78.1
"ARE",1984,80
"ARE",1985,82.8
"ARE",1986,87.3
"ARE",1987,92.1
"ARE",1988,96.7
"ARE",1989,99.4
"ARE",1990,100
"ARE",1991,103.4
"ARE",1992,110
"ARE",1993,115.8
"ARE",1994,122.4
"ARE",1995,127.7
"ARE",1996,131.5
"ARE",1997,135.4
"ARE",1998,138.1
"ARE",1999,141
"ARE",2000,142.9
"ARE",2001,146.901
"ARE",2002,151.188
"ARE",2003,155.904
"ARE",2004,163.763
"ARE",2005,173.909
"ARE",2006,190.057
"ARE",2007,211.206
"ARE",2008,237.124
"ARE",2009,240.828
"ARE",2010,242.942
"ARE",2011,245.074
"ARE",2012,246.697
"ARE",2013,249.413
"ARE",2014,255.265
"ARE",2015,265.654
"ARE",2016,269.951
"ARE",2017,275.261
"ARE",2018,284.963
"ARG",1980,NA
"ARG",1981,NA
"ARG",1982,NA
"ARG",1983,NA
"ARG",1984,NA
"ARG",1985,NA
"ARG",1986,NA
"ARG",1987,NA
"ARG",1988,NA
"ARG",1989,NA
"ARG",1990,NA
"ARG",1991,NA
"ARG",1992,NA
"ARG",1993,NA
"ARG",1994,NA
"ARG",1995,NA
"ARG",1996,NA
"ARG",1997,26.468
"ARG",1998,26.713
"ARG",1999,26.401
"ARG",2000,26.153
"ARG",2001,25.875
"ARG",2002,32.568
"ARG",2003,36.946
"ARG",2004,38.577
"ARG",2005,42.297
"ARG",2006,46.907
"ARG",2007,51.049
"ARG",2008,55.431
"ARG",2009,58.907
"ARG",2010,65.069
"ARG",2011,71.43
"ARG",2012,78.603
"ARG",2013,86.95
"ARG",2014,NA
"ARG",2015,NA
"ARG",2016,168.27
"ARG",2017,211.473
"ARG",2018,278.805
"ARM",1980,NA
"ARM",1981,NA
"ARM",1982,NA
"ARM",1983,NA
"ARM",1984,NA
"ARM",1985,NA
"ARM",1986,NA
"ARM",1987,NA
"ARM",1988,NA
"ARM",1989,NA
"ARM",1990,NA
"ARM",1991,NA
"ARM",1992,0.018
"ARM",1993,0.672
"ARM",1994,36.135
"ARM",1995,100
"ARM",1996,118.653
"ARM",1997,135.318
"ARM",1998,147.055
"ARM",1999,148.008
"ARM",2000,146.837
"ARM",2001,151.457
"ARM",2002,154.167
"ARM",2003,161.171
"ARM",2004,170.725
"ARM",2005,171.95
"ARM",2006,177.853
"ARM",2007,185.951
