"country","year","Tot_gross_central_D_to_GDP"
"Algeria",1964,29.3223786936198
"Algeria",1965,30.64528374353
"Algeria",1966,30.5605976782359
"Algeria",1967,29.8687388256951
"Algeria",1968,36.0997828504846
"Algeria",1969,21.9113677005321
"Algeria",1970,40.8057178268188
"Algeria",1971,49.4836671226376
"Algeria",1972,40.1173668622533
"Algeria",1973,40.6090779961828
"Algeria",1974,42.1710207031198
"Algeria",1975,47.8787233146754
"Algeria",1976,55.74211233177
"Algeria",1977,78.7494215813976
"Algeria",1978,101.886632933798
"Algeria",1979,91.5259587669413
"Algeria",1980,79.1465546625217
"Algeria",1981,66.6669488487569
"Algeria",1982,68.8741804757534
"Algeria",1983,68.8271216990214
"Algeria",1984,76.0189633155987
"Algeria",1985,70.0127883378228
"Algeria",1986,96.2884135340315
"Algeria",1987,107.668398489233
"Algeria",1988,126.070245751663
"Algeria",1989,118.245550646314
"Algeria",1990,106.26384993214
"Algeria",1991,123.472074137562
"Algeria",1992,122.244637015665
"Algeria",1993,132.372978435336
"Algeria",1994,173.05662565408
"Algeria",1995,174.293255836067
"Algeria",1996,146.423461366396
"Algeria",1997,135.003146664453
"Algeria",1998,85.1798352286876
"Algeria",1999,73.7798321220186
"Algeria",2000,68.6248041060111
"Algeria",2001,54.562034889031
"Algeria",2002,52.5119342506298
"Algeria",2003,49.3466373924319
"Algeria",2004,42.5271176312058
"Algeria",2005,16.3361596589808
"Algeria",2006,4.87756206943592
"Algeria",2007,4.28627878751778
"Algeria",2008,3.21665589679724
"Algeria",2009,3.7298498171905
"Algeria",2010,3.19441148903245
"Argentina",1824,29.0451017572202
"Argentina",1825,28.028471547683
"Argentina",1826,54.0505999423291
"Argentina",1827,425.633153110914
"Argentina",1828,91.968110027026
"Argentina",1829,26.1245432879249
"Argentina",1830,25.6554065796432
"Argentina",1831,26.075303969934
"Argentina",1832,25.5175247899262
"Argentina",1833,24.2918186180136
"Argentina",1834,24.2715671960235
"Argentina",1835,24.5887390382233
"Argentina",1836,23.682309852577
"Argentina",1837,25.1438604210536
