"countrycode","year","rgdpnapc"
"AFG",1820,NA
"AFG",1870,NA
"AFG",1913,NA
"AFG",1950,2392
"AFG",1951,2422
"AFG",1952,2462
"AFG",1953,2568
"AFG",1954,2576
"AFG",1955,2579
"AFG",1956,2644
"AFG",1957,2593
"AFG",1958,2684
"AFG",1959,2705
"AFG",1960,2744
"AFG",1961,2708
"AFG",1962,2695
"AFG",1963,2683
"AFG",1964,2673
"AFG",1965,2670
"AFG",1966,2633
"AFG",1967,2642
"AFG",1968,2670
"AFG",1969,2646
"AFG",1970,2632
"AFG",1971,2560
"AFG",1972,2086
"AFG",1973,2091
"AFG",1974,2149
"AFG",1975,2225
"AFG",1976,2286
"AFG",1977,2116
"AFG",1978,2215
"AFG",1979,2118
"AFG",1980,2108
"AFG",1981,2369
"AFG",1982,2628
"AFG",1983,2789
"AFG",1984,2766
"AFG",1985,2700
"AFG",1986,2779
"AFG",1987,2507
"AFG",1988,2280
"AFG",1989,2067
"AFG",1990,1992
"AFG",1991,1761
"AFG",1992,1629
"AFG",1993,1080
"AFG",1994,772
"AFG",1995,1101
"AFG",1996,1008
"AFG",1997,926
"AFG",1998,856
"AFG",1999,787
"AFG",2000,735
"AFG",2001,692
"AFG",2002,1088
"AFG",2003,1112
"AFG",2004,1107
"AFG",2005,1187
"AFG",2006,1257
"AFG",2007,1447
"AFG",2008,1464
"AFG",2009,1669
"AFG",2010,1685
"AFG",2011,1792
"AFG",2012,1945
"AFG",2013,2025
"AFG",2014,2022
"AFG",2015,1928
"AFG",2016,1929
"AGO",1950,NA
"AGO",1951,NA
"AGO",1952,NA
"AGO",1953,NA
"AGO",1954,NA
"AGO",1955,NA
"AGO",1956,NA
"AGO",1957,NA
"AGO",1958,NA
"AGO",1959,NA
"AGO",1960,NA
"AGO",1961,NA
"AGO",1962,NA
"AGO",1963,NA
"AGO",1964,NA
"AGO",1965,NA
"AGO",1966,NA
"AGO",1967,NA
"AGO",1968,NA
"AGO",1969,NA
"AGO",1970,NA
"AGO",1971,NA
"AGO",1972,NA
"AGO",1973,NA
"AGO",1974,NA
"AGO",1975,5345
"AGO",1976,4752
"AGO",1977,4687
"AGO",1978,4784
"AGO",1979,4774
"AGO",1980,4790
"AGO",1981,4600
"AGO",1982,4294
"AGO",1983,4026
"AGO",1984,3937
"AGO",1985,3882
"AGO",1986,3458
"AGO",1987,3785
"AGO",1988,4249
"AGO",1989,4252
"AGO",1990,4325
"AGO",1991,4253
"AGO",1992,3894
"AGO",1993,2870
"AGO",1994,2819
"AGO",1995,3142
"AGO",1996,3461
"AGO",1997,3607
"AGO",1998,3668
"AGO",1999,3644
"AGO",2000,3659
"AGO",2001,3720
"AGO",2002,4112
"AGO",2003,4187
"AGO",2004,4481
"AGO",2005,5136
"AGO",2006,6024
"AGO",2007,7173
"AGO",2008,7936
"AGO",2009,7900
"AGO",2010,7940
"AGO",2011,8016
"AGO",2012,8190
"AGO",2013,8508
"AGO",2014,8673
"AGO",2015,8689
"AGO",2016,8453
"ALB",1,NA
"ALB",1000,NA
"ALB",1500,NA
"ALB",1600,NA
"ALB",1700,NA
"ALB",1820,NA
"ALB",1850,NA
"ALB",1870,795
"ALB",1890,1065
"ALB",1900,1221
"ALB",1910,1390
"ALB",1913,1445
"ALB",1920,NA
"ALB",1921,NA
"ALB",1922,NA
"ALB",1923,NA
"ALB",1924,NA
"ALB",1925,NA
"ALB",1926,NA
"ALB",1927,NA
"ALB",1928,NA
"ALB",1929,1651
"ALB",1930,NA
"ALB",1931,NA
"ALB",1932,NA
"ALB",1933,NA
